,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4457,0.623,0.614,10,-9.24,0,0.0309,0.638,0.566,0.143,0.744,147.168,audio_features,3Hbwbuk3ChdUf7M6Cn7uQB,spotify:track:3Hbwbuk3ChdUf7M6Cn7uQB,https://api.spotify.com/v1/tracks/3Hbwbuk3ChdUf7M6Cn7uQB,https://api.spotify.com/v1/audio-analysis/3Hbwbuk3ChdUf7M6Cn7uQB,188413,4
4458,0.344,0.351,2,-12.206,1,0.0342,0.879,0.221,0.0791,0.206,67.017,audio_features,1BI3TOb107VToPovrraoU2,spotify:track:1BI3TOb107VToPovrraoU2,https://api.spotify.com/v1/tracks/1BI3TOb107VToPovrraoU2,https://api.spotify.com/v1/audio-analysis/1BI3TOb107VToPovrraoU2,284027,4
4459,0.636,0.757,0,-8.686,1,0.0326,0.0787,0.122,0.146,0.91,120.256,audio_features,6VzfdkKU7J6ideJPwVJnAN,spotify:track:6VzfdkKU7J6ideJPwVJnAN,https://api.spotify.com/v1/tracks/6VzfdkKU7J6ideJPwVJnAN,https://api.spotify.com/v1/audio-analysis/6VzfdkKU7J6ideJPwVJnAN,270307,4
4460,0.47,0.793,0,-8.929,1,0.26,0.164,1.31e-06,0.313,0.216,170.1,audio_features,40xhyfAPDoMtv494MfPevP,spotify:track:40xhyfAPDoMtv494MfPevP,https://api.spotify.com/v1/tracks/40xhyfAPDoMtv494MfPevP,https://api.spotify.com/v1/audio-analysis/40xhyfAPDoMtv494MfPevP,215947,4
4461,0.426,0.967,9,-10.63,0,0.0592,0.00106,0.669,0.333,0.4,143.749,audio_features,3bS36e0FO8IKJKzPeY1xNI,spotify:track:3bS36e0FO8IKJKzPeY1xNI,https://api.spotify.com/v1/tracks/3bS36e0FO8IKJKzPeY1xNI,https://api.spotify.com/v1/audio-analysis/3bS36e0FO8IKJKzPeY1xNI,254533,4
4462,0.884,0.962,0,-4.612,1,0.193,0.00342,0.456,0.103,0.255,126.983,audio_features,3S7hj7i6ibxRbpKkXJtio3,spotify:track:3S7hj7i6ibxRbpKkXJtio3,https://api.spotify.com/v1/tracks/3S7hj7i6ibxRbpKkXJtio3,https://api.spotify.com/v1/audio-analysis/3S7hj7i6ibxRbpKkXJtio3,213960,4
4463,0.351,0.947,5,-4.965,1,0.0503,0.00382,1.81e-06,0.559,0.859,153.762,audio_features,2zMlWt4aYreVczVERFK94w,spotify:track:2zMlWt4aYreVczVERFK94w,https://api.spotify.com/v1/tracks/2zMlWt4aYreVczVERFK94w,https://api.spotify.com/v1/audio-analysis/2zMlWt4aYreVczVERFK94w,240147,4
4464,0.223,0.33,0,-8.562,1,0.0334,0.924,0.0489,0.103,0.0825,92.664,audio_features,4F7sAuWOLpyL1EzuwFDeL8,spotify:track:4F7sAuWOLpyL1EzuwFDeL8,https://api.spotify.com/v1/tracks/4F7sAuWOLpyL1EzuwFDeL8,https://api.spotify.com/v1/audio-analysis/4F7sAuWOLpyL1EzuwFDeL8,296613,5
4465,0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082,audio_features,6Dk5fHTvH897XrVzCO64Mx,spotify:track:6Dk5fHTvH897XrVzCO64Mx,https://api.spotify.com/v1/tracks/6Dk5fHTvH897XrVzCO64Mx,https://api.spotify.com/v1/audio-analysis/6Dk5fHTvH897XrVzCO64Mx,286493,4
4466,0.367,0.415,7,-8.857,1,0.043,0.61,0.0,0.0804,0.402,180.706,audio_features,5zOiSgAZJhikocvA3KdSpX,spotify:track:5zOiSgAZJhikocvA3KdSpX,https://api.spotify.com/v1/tracks/5zOiSgAZJhikocvA3KdSpX,https://api.spotify.com/v1/audio-analysis/5zOiSgAZJhikocvA3KdSpX,430733,3
